amount,volume,timestamp,side,symbol,Class
97248.35707650562,2.6788936801741414,2026-06-01 00:00:00,s,XBTUSD,0
96930.86784941441,2.780392263184117,2026-06-01 00:00:01,b,XBTUSD,0
97323.84426905034,3.0415256215876383,2026-06-01 00:00:02,b,XBTUSD,1
97761.51492820401,3.0269010260174514,2026-06-01 00:00:03,s,XBTUSD,1
96882.92331263833,1.8111653160214545,2026-06-01 00:00:04,b,XBTUSD,0
96882.9315215254,2.0310874800424386,2026-06-01 00:00:05,s,XBTUSD,0
97789.6064077537,2.75751763360433,2026-06-01 00:00:06,s,XBTUSD,1
97383.71736457646,2.7568929754561045,2026-06-01 00:00:07,b,XBTUSD,0
96765.26280703253,2.757523843153024,2026-06-01 00:00:08,b,XBTUSD,0
97271.28002179298,4.42636574532736,2026-06-01 00:00:09,b,XBTUSD,1
96768.29115359377,2.7854452553465836,2026-06-01 00:00:10,s,XBTUSD,0
96767.13512321487,3.0677828200902995,2026-06-01 00:00:11,b,XBTUSD,1
97120.98113578302,2.9770008817466014,2026-06-01 00:00:12,s,XBTUSD,0
96043.3598776711,2.825695625652899,2026-06-01 00:00:13,s,XBTUSD,0
96137.54108374349,2.342365377679827,2026-06-01 00:00:14,s,XBTUSD,0
96718.85623537951,2.879484610246634,2026-06-01 00:00:15,b,XBTUSD,0
96493.58443983279,2.113587392731214,2026-06-01 00:00:16,b,XBTUSD,0
97157.12366629763,2.3815906966299956,2026-06-01 00:00:17,s,XBTUSD,0
96545.9879622394,2.2573182260854483,2026-06-01 00:00:18,b,XBTUSD,0
96293.84814933235,2.5409370696931615,2026-06-01 00:00:19,b,XBTUSD,0
97732.82438446078,3.6573292833367543,2026-06-01 00:00:20,b,XBTUSD,1
96887.11184975674,1.566367403704126,2026-06-01 00:00:21,s,XBTUSD,0
97033.76410234396,2.8431300951872567,2026-06-01 00:00:22,s,XBTUSD,0
96287.62590689327,1.6936420644051742,2026-06-01 00:00:23,b,XBTUSD,0
96727.80863773741,2.264034067105283,2026-06-01 00:00:24,s,XBTUSD,0
97055.46129485493,3.044475298483683,2026-06-01 00:00:25,b,XBTUSD,1
96424.50321128884,2.5321400095477316,2026-06-01 00:00:26,b,XBTUSD,0
97187.84900917283,1.961127611035347,2026-06-01 00:00:27,b,XBTUSD,0
96699.6806550406,2.1423481453700157,2026-06-01 00:00:28,b,XBTUSD,0
96854.15312510336,2.8397988744673377,2026-06-01 00:00:29,s,XBTUSD,0
96699.1466938853,2.1348166841414318,2026-06-01 00:00:30,s,XBTUSD,0
97926.13909225447,2.6082292947909873,2026-06-01 00:00:31,s,XBTUSD,1
96993.25138763103,2.522785919951907,2026-06-01 00:00:32,b,XBTUSD,0
