amount_scaled,volume_scaled,hour,minute,is_sell,Class
-0.034069499500682915,-0.5146110928408998,3,8,1,0
-0.03427491103033902,-0.5157838758408563,3,8,1,0
-0.03427491103033902,-0.503607803391839,3,8,1,0
-0.034405627458301634,-0.5146084121940427,3,8,1,0
-0.034405627458301634,-0.5148558933413806,3,8,1,0
-0.03441496434601383,-0.418132123283829,3,8,1,1
-0.03442430123372603,-0.503607803391839,3,8,1,0
-0.03447098567228429,-0.5036072289675124,3,8,1,0
-0.034508333223130364,-0.4903026520603739,3,8,1,0
-0.0345363438862656,-0.40701182359945814,3,8,1,1
-0.034592365212534705,-0.44642309578873773,3,8,1,0
-0.034592365212534705,0.07624455536453352,3,8,1,1
-0.03416286837779945,-0.5152363728677828,3,8,0,0
-0.03420021592864552,-0.512104917799295,3,9,0,0
-0.03420021592864552,-0.5158206581452304,3,9,0,0
-0.03420021592864552,-0.5147420328661276,3,9,0,0
-0.03420021592864552,-0.5150991811911348,3,9,0,0
-0.03393878307271894,-0.5145394621273841,3,9,0,0
-0.03420021592864552,-0.5150037980317179,3,9,0,0
-0.03420021592864552,-0.5154630407070233,3,9,0,0
-0.03420955281635772,-0.5157065104578143,3,9,1,0
-0.03420021592864552,-0.5155459205635998,3,9,0,0
-0.03420955281635772,-0.5147363460652952,3,9,1,0
-0.03420955281635772,-0.515736964520858,3,9,1,0
-0.03420955281635772,-0.5148753280310941,3,9,1,0
-0.03420955281635772,-0.5148799712944001,3,9,1,0
-0.03420955281635772,-0.5156060819380629,3,9,0,0
-0.034218889704068556,-0.5157321776514704,3,9,1,0
-0.034218889704068556,-0.5158084803495084,3,9,1,0
-0.03420955281635772,-0.5157134322709487,3,9,0,0
-0.034218889704068556,-0.5157853119016725,3,9,1,0
-0.03420955281635772,-0.5126068306283211,3,9,0,0
-0.03420955281635772,-0.5157549344285389,3,10,0,0
-0.03420955281635772,-0.5130689932939531,3,10,0,0
-0.034218889704068556,-0.5147822904376771,3,10,1,0
-0.034218889704068556,-0.515736964520858,3,10,1,0
-0.034218889704068556,-0.5148753280310941,3,10,1,0
-0.034218889704068556,-0.48921500831934484,3,10,1,0
-0.034218889704068556,-0.515222222881873,3,10,1,0
-0.03420955281635772,-0.5157803239837707,3,10,0,0
-0.034218889704068556,-0.5148753280310941,3,10,1,0
-0.034218889704068556,-0.5157560928509308,3,10,1,0
-0.03420955281635772,-0.5154748834218882,3,10,0,0
-0.03420955281635772,-0.46546481224679803,3,10,0,0
-0.034218889704068556,-0.5156862332790885,3,10,1,0
-0.03420955281635772,-0.5146876923248398,3,10,0,0
-0.03420955281635772,-0.5146644281396162,3,10,0,0
-0.03420955281635772,-0.5155487160953222,3,11,0,0
-0.03420955281635772,-0.5156270962946744,3,11,0,0
-0.03420955281635772,-0.5118594471371,3,11,0,0
-0.034218889704068556,-0.5075756681484181,3,11,1,0
-0.034218889704068556,-0.5146101546144999,3,11,1,0
-0.034218889704068556,-0.515736964520858,3,11,1,0
-0.034218889704068556,-0.5148753280310941,3,11,1,0
-0.034555017661688635,-0.5135396957345723,3,11,0,0
-0.034555017661688635,-0.5157116611292752,3,11,0,0
-0.034555017661688635,-0.5157209476558872,3,11,0,0
-0.034564354549400836,-0.514610106745806,3,11,1,0
-0.034564354549400836,-0.515736964520858,3,11,1,0
-0.034564354549400836,-0.5148753280310941,3,11,1,0
-0.034639049651092976,-0.5157838758408563,3,11,1,0
-0.035003188271848285,-0.5157838758408563,3,11,1,0
-0.03509655714896483,-0.4936669308821346,3,11,1,0
-0.035087220261252626,-0.5153719370088389,3,11,0,0
-0.035087220261252626,-0.5135394180961478,3,11,0,0
-0.03509655714896483,-0.5156007685130426,3,11,1,0
-0.035087220261252626,-0.514896792353428,3,11,0,0
-0.035087220261252626,-0.512823608795407,3,11,0,0
-0.03509655714896483,-0.5156494414009756,3,11,1,0
-0.035087220261252626,-0.5135168240726384,3,11,0,0
-0.035087220261252626,-0.5152560469009657,3,11,0,0
-0.035087220261252626,-0.4827859076509713,3,12,0,0
-0.035087220261252626,-0.5145611083507547,3,12,0,0
-0.035087220261252626,-0.5137443726958463,3,12,0,0
-0.035087220261252626,-0.5146100110084183,3,12,0,0
-0.035087220261252626,-0.515099085453747,3,12,0,0
-0.03363066577823546,-0.5144368507951921,3,12,0,0
-0.0336400026659463,-0.5147554361004129,3,12,1,0
-0.0336400026659463,-0.5145919166421332,3,12,1,0
-0.03363066577823546,-0.5153948948344218,3,12,0,0
-0.03363066577823546,-0.5154700199625903,3,12,0,0
-0.0336400026659463,-0.5155716643471662,3,12,1,0
-0.03363066577823546,-0.5149729322979069,3,12,0,0
-0.03355597067654196,-0.5157838758408563,3,12,0,0
-0.03318249516807581,-0.5157838758408563,3,12,0,1
-0.03291172542443703,-0.5108777942580507,3,12,0,1
-0.032902388536726196,-0.5130824826918872,3,12,0,1
-0.032902388536726196,-0.5133880668598514,3,12,0,1
-0.032902388536726196,-0.5146103748104917,3,12,0,1
-0.032902388536726196,-0.5096920101208376,3,12,0,1
-0.032902388536726196,-0.509989408742149,3,12,0,1
-0.032902388536726196,-0.5157948186242763,3,12,0,1
-0.03291172542443703,-0.5156113474943892,3,12,1,1
-0.032902388536726196,-0.5146343474523847,3,13,0,1
-0.032902388536726196,-0.51571631396632,3,13,0,1
-0.032902388536726196,-0.5146372770164499,3,13,0,1
-0.032902388536726196,-0.5046200156450585,3,13,0,1
-0.032902388536726196,-0.5139148426884766,3,13,0,1
-0.032902388536726196,-0.5158206581452304,3,13,0,1
-0.03291172542443703,-0.5155198991416089,3,13,1,1
-0.032902388536726196,-0.5152688757109244,3,14,0,1
-0.032902388536726196,-0.5157593670695919,3,14,0,1
-0.032902388536726196,-0.5137696569399516,3,14,0,1
-0.03291172542443703,-0.5156184320610828,3,14,1,1
-0.032902388536726196,-0.5155301430420983,3,14,0,1
-0.032902388536726196,-0.5157321776514704,3,14,0,1
-0.032902388536726196,-0.515588236488986,3,14,0,1
-0.03291172542443703,-0.51555264132822,3,14,1,1
-0.03291172542443703,-0.515736964520858,3,14,1,1
-0.03291172542443703,-0.5156270101310254,3,14,1,1
-0.03291172542443703,-0.5150810198086783,3,14,1,1
-0.03291172542443703,-0.5156270101310254,3,14,1,1
-0.03291172542443703,-0.5155673657384562,3,14,1,1
-0.032902388536726196,-0.5158207730300958,3,14,0,1
-0.032902388536726196,-0.5151029532442122,3,14,0,1
-0.032902388536726196,-0.5158085569394186,3,14,0,1
-0.08580519431095547,-0.5146014808071696,9,8,1,0
-0.08592657385120725,-0.5157838758408563,9,8,1,0
-0.08621601737026906,-0.5146015191021247,9,8,1,0
-0.08626270180882732,-0.5033868415009084,9,8,1,0
-0.08644943956306039,-0.5135106298636509,9,8,1,0
