Class,amount_scaled,volume_scaled,hour,minute,is_sell
1,1.848262035216587,7.810557734452852,18,14,1
1,1.8557490744960707,-0.17320889539845563,18,14,0
1,1.848262035216587,-0.16020120007521071,18,14,1
0,1.3616044820076578,-0.17465115681037094,18,14,0
0,0.7851024574362088,1.0849153933249596,18,14,1
0,0.7476672610355218,-0.174736263781817,18,14,1
0,0.732693182475465,-0.17533977197296857,18,14,1
0,0.6653098289546645,-0.174736263781817,18,14,1
0,0.5230560826314007,-0.174736263781817,18,14,1
0,0.44818568983002705,1.0849153933249596,18,14,1
0,1.0321747536809598,-0.1721031205943416,18,14,0
0,1.0022265965608461,-0.16035564890617074,18,14,0
0,0.46315976839117334,-0.174736263781817,18,14,1
0,0.4556727291106002,-0.16019738196216465,18,14,1
0,0.30593194350785274,-0.16923916631498495,18,14,0
0,0.2984449042272796,-0.1601971356322907,18,14,1
0,0.18613931502521902,-0.17566024713896375,18,15,0
0,0.20111339358636537,-0.1658775025253337,18,15,0
0,0.20111339358636537,-0.16808227806202847,18,15,0
0,0.1936263543057922,-0.08864963842709092,18,15,1
0,0.20111339358636537,-0.12709027740989592,18,15,0
0,0.20111339358636537,-0.12709027740989592,18,15,0
0,0.20111339358636537,-0.15133492575757226,18,15,0
0,0.20111339358636537,-0.1605814102356362,18,15,0
0,0.20111339358636537,-0.17442170053279638,18,15,0
0,0.20111339358636537,-0.14519490731975832,18,15,0
0,0.20111339358636537,-0.13102983108380906,18,15,0
0,0.20111339358636537,-0.1757804561174462,18,15,0
0,0.20111339358636537,-0.16458427068715176,18,16,0
0,0.1936263543057922,-0.16273026889094674,18,16,1
0,0.20111339358636537,-0.1366977583182181,18,16,0
0,0.20111339358636537,-0.17468539666284852,18,16,0
0,0.20111339358636537,-0.17276131401750772,18,16,0
0,0.20111339358636537,-0.15794112348181655,18,16,0
0,0.20111339358636537,-0.11377984267157946,18,16,0
0,0.20111339358636537,-0.1684558373158576,18,16,0
0,0.20111339358636537,-0.17441406430670425,18,16,0
0,0.1936263543057922,-0.17273544938074406,18,16,1
0,0.20111339358636537,-0.17566024713896375,18,16,0
0,0.20111339358636537,-0.17286033862683137,18,16,0
0,0.20111339358636537,-0.1634504142774086,18,17,0
0,0.20111339358636537,-0.17257730560167497,18,17,0
0,0.20111339358636537,-0.12888589902597733,18,17,0
0,0.20111339358636537,-0.17269862306459013,18,17,0
0,0.20111339358636537,-0.17438462788676848,18,17,0
0,0.20111339358636537,-0.16712072939910597,18,17,0
0,0.20111339358636537,-0.17248887317693073,18,17,0
0,0.1936263543057922,-0.16377446122657593,18,17,1
0,0.1936263543057922,-0.17391881809514903,18,17,1
0,0.20111339358636537,-0.16377840250455897,18,17,0
0,0.1936263543057922,-0.033112105048709685,18,18,1
0,-0.0684200204990158,-0.160196027147858,18,18,1
0,-0.3304663953038238,-0.16650441205450953,18,18,1
0,-0.4352849452253112,-0.17533977197296857,18,18,1
0,-0.7272794771513224,-0.16019417967380345,18,18,1
0,-0.9668647341155003,-0.17467468131333216,18,18,0
0,-0.9743517733960735,-0.16330754295052374,18,18,1
0,-1.386138933803629,-0.1758124790010583,18,18,0
0,-1.3936259730831126,-0.16499810487536998,18,18,1
0,-1.3936259730831126,-0.17117260949553545,18,18,1
0,-2.6215004150262953,-0.17519061923429827,18,18,0
0,-2.6289874543057787,-0.1754827664647904,18,19,1
0,-2.6215004150262953,-0.17581395698030194,18,19,0
0,-2.6289874543057787,-0.16067563141241803,18,19,1
0,-3.175541321756025,-0.15229758290492754,18,19,1
