Class,amount_scaled,volume_scaled,hour,minute,is_sell
1,-0.5271800521289723,10.256071942138481,18,14,1
1,-0.5255806299078908,-0.17111209025356916,18,14,0
1,-0.5271800521289723,-0.1541234131965988,18,14,1
0,-0.6311424965083543,-0.172995753173854,18,14,0
0,-0.7542980075425776,1.4720588718197212,18,14,1
0,-0.7622951186486838,-0.17310690698067868,18,14,1
0,-0.7654939630910799,-0.17389511776713432,18,14,1
0,-0.7798887630819781,-0.17310690698067868,18,14,1
0,-0.8102777852853217,-0.17310690698067868,18,14,1
0,-0.8262720074975343,1.4720588718197212,18,14,1
0,-0.7015170742422294,-0.1696678950615694,18,14,0
0,-0.7079147631270214,-0.1543251308141938,18,14,0
0,-0.8230731630549056,-0.17310690698067868,18,14,1
0,-0.8246725852762199,-0.15411842655692942,18,14,1
0,-0.8566610297006452,-0.1659274327314769,18,14,0
0,-0.8582604519219595,-0.15411810483824107,18,14,1
0,-0.8822517852402785,-0.17431367378067666,18,15,0
0,-0.8790529407976497,-0.1615369377915747,18,15,0
0,-0.8790529407976497,-0.16441648091164462,18,15,0
0,-0.8806523630189641,-0.06067362493244893,18,15,1
0,-0.8790529407976497,-0.11087895226475812,18,15,0
0,-0.8790529407976497,-0.11087895226475812,18,15,0
0,-0.8790529407976497,-0.14254363158750022,18,15,0
0,-0.8790529407976497,-0.1546199859920659,18,15,0
0,-0.8790529407976497,-0.17269607221565667,18,15,0
0,-0.8790529407976497,-0.13452447156170688,18,15,0
0,-0.8790529407976497,-0.11602419924752763,18,15,0
0,-0.8790529407976497,-0.17447067250059112,18,15,0
0,-0.8790529407976497,-0.15984791467774118,18,16,0
0,-0.8806523630189641,-0.15742649896988056,18,16,1
0,-0.8790529407976497,-0.12342678540709963,18,16,0
0,-0.8790529407976497,-0.17304047207153456,18,16,0
0,-0.8790529407976497,-0.1705275273968386,18,16,0
0,-0.8790529407976497,-0.1511716442309945,18,16,0
0,-0.8790529407976497,-0.09349488293980657,18,16,0
0,-0.8790529407976497,-0.16490436730252628,18,16,0
0,-0.8790529407976497,-0.17268609893631784,18,16,0
0,-0.8806523630189641,-0.1704937469345619,18,16,1
0,-0.8790529407976497,-0.17431367378067666,18,16,0
0,-0.8790529407976497,-0.17065685830955496,18,16,0
0,-0.8790529407976497,-0.1583670435552696,18,17,0
0,-0.8790529407976497,-0.1702872035366417,18,17,0
0,-0.8790529407976497,-0.11322412064347996,18,17,0
0,-0.8790529407976497,-0.1704456499906537,18,17,0
0,-0.8790529407976497,-0.1726476535530601,18,17,0
0,-0.8790529407976497,-0.16316065201167335,18,17,0
0,-0.8790529407976497,-0.1701717065275243,18,17,0
0,-0.8806523630189641,-0.15879026448979303,18,17,1
0,-0.8806523630189641,-0.17203928351339168,18,17,1
0,-0.8790529407976497,-0.1587954119888066,18,17,0
0,-0.8806523630189641,0.011861070542772249,18,18,1
0,-0.9366321407617082,-0.1541166571041435,18,18,1
0,-0.9926119185044523,-0.16235571185342354,18,18,1
0,-1.015003829601457,-0.17389511776713432,18,18,1
0,-1.0773812962292257,-0.1541142442139809,18,18,1
0,-1.1285628073082594,-0.17302647730859136,18,18,0
0,-1.130162229529574,-0.15818044671602702,18,18,1
0,-1.2181304516967433,-0.17451249593007653,18,18,0
0,-1.2197298739178248,-0.1603884020741679,18,18,1
0,-1.2197298739178248,-0.1684526027163301,18,18,1
0,-1.4820351181982512,-0.17370031710133885,18,18,0
0,-1.4836345404193327,-0.17408187546572104,18,19,1
0,-1.4820351181982512,-0.17451442624220662,18,19,0
0,-1.4836345404193327,-0.15474304339035946,18,19,1
0,-1.6003923625685315,-0.14380090822156907,18,19,1
0,0.993870480252307,-0.15906324279685735,19,12,1
0,0.993870480252307,-0.11320787384971834,19,12,1
0,0.993870480252307,-0.1727142493215484,19,12,1
0,0.993870480252307,-0.17277167610741875,19,12,1
0,0.9954699024736213,-0.1568601132190417,19,12,0
0,0.993870480252307,-0.13403127681246751,19,12,1
0,0.9250953247397462,-0.17200260758291988,19,13,0
0,0.9250953247397462,-0.17368712663511654,19,13,0
0,0.9234959025186645,-0.16791919313104708,19,14,1
0,0.9250953247397462,-0.17348138753391718,19,14,0
0,0.9250953247397462,-0.1689725001167025,19,14,0
0,0.9250953247397462,1.2393047306410032,19,14,0
0,0.9250953247397462,-0.15414722037953668,19,14,0
0,0.9250953247397462,-0.15414722037953668,19,14,0
0,1.1730057690290416,1.4338779413238094,19,14,0
0,1.1218242579500077,-0.15415027670707598,19,14,0
0,1.1362190579411389,-0.15415059842576434,19,14,0
0,1.2353832356568104,-0.17389511776713432,19,14,0
0,1.2145907467808874,-0.1288009352366296,19,14,0
0,1.2977607022843465,-0.17389511776713432,19,14,0
0,1.2673716800812356,-0.1730108739522064,19,14,0
0,1.2673716800812356,-0.15159293485338785,19,14,0
0,1.2673716800812356,-0.1496394589777312,19,14,0
0,1.2673716800812356,-0.17213740771333821,19,15,0
0,1.2657722578599213,-0.17303612886924186,19,15,1
0,1.2673716800812356,-0.17253119138787767,19,15,0
0,1.2657722578599213,-0.16990516259422694,19,15,1
0,1.2657722578599213,-0.16743886712934164,19,15,1
0,1.2145907467808874,2.4279886883229818,19,15,1
0,1.0018675913584132,-0.16041976964628193,19,15,0
